,district,CANDIDATE NAME,PARTY,PRIMARY %,YEAR
409,MI15,"Dingell, John D.",D,100.00%,2010
410,MI15,"Steele, Rob",R,50.76%,2010
411,MN01,"Demmer, Randy",R,100%,2010
412,MN02,"Kline, John",R,100.00%,2010
413,MN03,"Paulsen, Erik",R,100%,2010
414,MN04,"Collett, Teresa",R,67.20%,2010
415,MN05,"Demos, Joel",R,100.00%,2010
416,MN06,"Bachmann, Michele",R,100.00%,2010
417,MN07,"Byberg, Lee",R,60.95%,2010
418,MN08,"Cravaack, Chip",R,100.00%,2010
419,MS01,"Nunnelee,  Alan ",R,51.82%,2010
420,MS01,"Childers, Travis W.",D,100%,2010
421,MS02,"Thompson, Bennie G",D,100%,2010
422,MS02,"Marcy, Bill ",R,34.75%,2010
423,MS03,"Harper, Gregg",R,100%,2010
424,MS03,"Gill, Joel L.",D,52.33%,2010
425,MS04,"Palazzo, Steven",R,57.15%,2010
426,MS04,"Taylor, Gene",D,100%,2010
427,MO01,"Clay, Lacy",D,81.25%,2010
428,MO01,"Hamlin, Robyn",R,63.21%,2010
429,MO02,"Akin, Todd",R,84.57%,2010
430,MO02,"Lieber, Arthur",D,100.00%,2010
431,MO03,"Carnahan, Russ",D,80.14%,2010
432,MO03,"Martin, Ed ",R,63.39%,2010
433,MO04,"Hartzler, Vicky",R,40.46%,2010
434,MO04,"Skelton, Ike",D,80.53%,2010
435,MO05,"Cleaver, Emanuel, II",D,100.00%,2010
436,MO05,"Turk, Jacob",R,67.00%,2010
437,MO06,"Graves, Sam",R,82.46%,2010
438,MO06,"Hylton, Clint",D,100.00%,2010
439,MO07,"Long, Billy",R,36.56%,2010
440,MO07,"Eckersley, Scott",D,62.66%,2010
441,MO08,"Emerson, Jo Ann",R,65.59%,2010
442,MO08,"Sowers, Tommy",D,100.00%,2010
443,MO09,"Luetkemeyer, Blaine",R,82.97%,2010
446,MT00,"Rehberg, Denny",R,74.69%,2010
447,MT00,"McDonald, Dennis",D,38.42%,2010
448,NE01,"Fortenberry, Jeff",R,84.25%,2010
449,NE01,"Harper, Ivy",D,37.58%,2010
450,NE02,"Terry, Lee",R,63.50%,2010
451,NE02,"White, Tom",D,100.00%,2010
452,NE03,"Smith, Adrian",R,88.01%,2010
453,NE03,"Davis, Rebekah",D,100.00%,2010
454,NV01,"Berkley, Shelley",D,100%,2010
455,NV01,"Wegner, Kenneth A.",R,26.75%,2010
456,NV02,"Heller, Dean ",R,83.70%,2010
457,NV02,"Price, Nancy",D,45.36%,2010
458,NV03,"Heck, Joe",R,68.80%,2010
459,NV03,"Titus, Dina ",D,80.37%,2010
462,NH01,"Guinta, Frank C. ",R,31.85%,2010
463,NH01,"Shea-Porter, Carol ",D,96.44%,2010
464,NH02,"Bass, Charles ",R,42.48%,2010
465,NH02,"Kuster, Ann McLane",D,70.94%,2010
468,NJ01,"Andrews, Robert E.",D,86.66%,2010
469,NJ01,"Glading, Dale",R,54.81%,2010
470,NJ02,"LoBiondo, Frank A. ",R,78.06%,2010
471,NJ02,"Stein, Gary",D,100.00%,2010
472,NJ03,"Runyan, Jon",R,60.41%,2010
473,NJ03,"Adler, John A.",D,75.13%,2010
474,NJ04,"Smith, Christopher H.",R,68.83%,2010
475,NJ04,"Kleinhendler, Howard",D,100.00%,2010
476,NJ05,"Garrett, Scott",R,100.00%,2010
477,NJ05,"Theise, Tod",D,79.44%,2010
478,NJ06,"Pallone, Frank, Jr.",D,100.00%,2010
479,NJ06,"Little, Anna C.",R,50.31%,2010
480,NJ07,"Lance, Leonard",R,56.10%,2010
481,NJ07,"Potosnak, Ed",D,100.00%,2010
482,NJ08,"Pascrell, Bill, Jr.",D,100.00%,2010
483,NJ08,"Straten, Roland",R,81.15%,2010
484,NJ09,"Rothman, Steven R.",D,100.00%,2010
485,NJ09,"Agosta, Michael A.",R,58.15%,2010
486,NJ10,"Payne, Donald M.",D,100.00%,2010
487,NJ10,"Alonso, Michael J.",R,100.00%,2010
488,NJ11,"Frelinghuysen, Rodney P.",R,76.44%,2010
489,NJ11,"Herbert, Douglas",D,71.52%,2010
490,NJ12,"Holt, Rush",D,100.00%,2010
491,NJ12,"Sipprelle, Scott",R,54.12%,2010
492,NJ13,"Sires, Albio ",D,86.93%,2010
493,NJ13,"Dwyer, Henrietta ",R,100.00%,2010
494,NM01,"Heinrich, Martin T.",D,100.00%,2010
495,NM01,"Barela, Jonathan L.",R,100.00%,2010
496,NM02,"Pearce, Steve",R,84.81%,2010
497,NM02,"Teague, Harry ",D,100.00%,2010
498,NM03,"Lujan, Ben R.",D,100.00%,2010
499,NM03,"Mullins, Thomas E.",R,71.32%,2010
500,NY01,"Bishop, Timothy H.",D,100%,2010
501,NY01,"Altschuler, Randolph",R,45.07%,2010
502,NY02,"Israel, Steve J.",D,100%,2010
